AS,,,,March 2025,ALWAYS ASK FOR STOCKS AVAILABILITY,,,
1YR,SSD 2.5-inch,STORM,120gb,SSD 2.5-inch - STORM 120gb,₱600,₱580.00,₱672.00,14
1YR,SSD 2.5-inch,STORM,240gb,SSD 2.5-inch - STORM 240gb,₱900,₱880.00,"₱1,008.00",5
1YR,SSD 2.5-inch,TEAM GROUP,GX2 1TB,SSD 2.5-inch - TEAM GROUP GX2 1TB,"₱3,350","₱3,300.00","₱3,752.00",0
1YR,SSD 2.5-inch,TEAM GROUP,GX2 256gb,SSD 2.5-inch - TEAM GROUP GX2 256gb,"₱1,150","₱1,250.00","₱1,288.00",4
1YR,SSD 2.5-inch,TEAM GROUP,GX2 512gb,SSD 2.5-inch - TEAM GROUP GX2 512gb,"₱1,900","₱1,880.00","₱2,128.00",3
1YR,SSD 2.5-inch,TFORCE,VULCAN Z 1TB,SSD 2.5-inch - TFORCE VULCAN Z 1TB,"₱3,250","₱3,200.00","₱3,640.00",0
1YR,SSD 2.5-inch,WHALEKOM,WKSA-128GB,SSD 2.5-inch - WHALEKOM WKSA-128GB,₱680,₱660.00,₱761.60,0
1YR,SSD 2.5-inch,WHALEKOM,WKSA-512GB,SSD 2.5-inch - WHALEKOM WKSA-512GB,"₱1,550","₱1,650.00","₱1,736.00",0
1YR,SSD 2.5-inch,WHALEKOM,WKSA-1TB,SSD 2.5-inch - WHALEKOM WKSA-1TB,"₱3,000","₱2,950.00","₱3,360.00",3
1YR,SSD 2.5-inch,WHALEKOM,WKSA-256GB,SSD 2.5-inch - WHALEKOM WKSA-256GB,₱830,₱810.00,₱929.60,19
1YR,SSD 2.5-inch,TFORCE,VULCAN Z 512GB,SSD 2.5-inch - TFORCE VULCAN Z 512GB,"₱1,950","₱1,930.00","₱2,184.00",0
1YR,SSD M.2,TEAM GROUP,R600 MS30 128gb,SSD M.2 - TEAM GROUP R600 MS30 128gb,₱980,₱960.00,"₱1,097.60",0
1YR,SSD NVME,LEXAR,NM790 1TB GEN4,SSD NVME - LEXAR NM790 1TB GEN4,"₱4,900","₱4,850.00","₱5,488.00",1
1YR,SSD NVME,LEXAR,NM620 256GB,SSD NVME - LEXAR NM620 256GB,"₱1,650","₱1,630.00","₱1,848.00",2
1YR,SSD NVME,SAMSUNG,970 EVO PLUS 1tb,SSD NVME - SAMSUNG 970 EVO PLUS 1tb,"₱6,350","₱6,330.00","₱7,112.00",0
1YR,SSD NVME,TEAM GROUP,MP33 128gb,SSD NVME - TEAM GROUP MP33 128gb,"₱1,400","₱1,380.00","₱1,568.00",0
1YR,SSD NVME,TEAM GROUP,MP33 256gb,SSD NVME - TEAM GROUP MP33 256gb,"₱1,245","₱1,225.00","₱1,394.40",3
1YR,SSD NVME,TEAM GROUP,MP33 512gb,SSD NVME - TEAM GROUP MP33 512gb,"₱1,900","₱1,850.00","₱2,128.00",6
1YR,SSD NVME,TEAM GROUP,MP33 PRO 512gb,SSD NVME - TEAM GROUP MP33 PRO 512gb,"₱2,300","₱2,280.00","₱2,576.00",0
1YR,SSD NVME,TEAM GROUP,MP33 1tb,SSD NVME - TEAM GROUP MP33 1tb,"₱3,450","₱3,420.00","₱3,864.00",0
1YR,SSD NVME,TEAM GROUP,MP33 PRO 2TB,SSD NVME - TEAM GROUP MP33 PRO 2TB,"₱6,450","₱6,350.00","₱7,224.00",0
1YR,SSD NVME,TEAM GROUP,MP33 PRO 1TB,SSD NVME - TEAM GROUP MP33 PRO 1TB,"₱3,900","₱3,850.00","₱4,368.00",4
1YR,SSD NVME,TFORCE,M2 2280 CARDEA Z44L PCI-E GEN 4X4 250GB,SSD NVME - TFORCE M2 2280 CARDEA Z44L PCI-E GEN 4X4 250GB,"₱1,800","₱1,770.00","₱2,016.00",0
1YR,SSD NVME,WHALEKOM,256GB (2280),SSD NVME - WHALEKOM 256GB (2280),"₱1,060","₱1,040.00","₱1,187.20",0
1YR,SSD NVME,KINGSTON,NV3 PCIe 4.0 1TB,SSD NVME - KINGSTON NV3 PCIe 4.0 1TB,"₱3,300","₱3,280.00","₱3,696.00",2
1YR,SSD NVME,APACER,M2 PCIE 3X4 256GB,SSD NVME - APACER M2 PCIE 3X4 256GB,"₱1,400","₱1,380.00","₱1,568.00",0
1YR,SSD NVME,TEAM GROUP,MP44L PCI-E GEN 4 2TB,SSD NVME - TEAM GROUP MP44L PCI-E GEN 4 2TB,"₱6,325","₱6,305.00","₱7,084.00",0
1YR,SSD PORTABLE,TEAM GROUP,PD1000 USB3.2 GEN2X1 512GB,SSD PORTABLE - TEAM GROUP PD1000 USB3.2 GEN2X1 512GB,"₱3,200","₱3,150.00","₱3,584.00",0
1MO,STOCK FAN ,,INTEL STOCK FAN,STOCK FAN  -  INTEL STOCK FAN,₱450,₱400.00,₱504.00,0
N/A,TABLE,KEYTECH,GT01 GAMING TABLE BLACK,TABLE - KEYTECH GT01 GAMING TABLE BLACK,"₱3,500","₱3,450.00","₱3,920.00",0
N/A,TABLE,KEYTECH,GT01 GAMING TABLE WHITE,TABLE - KEYTECH GT01 GAMING TABLE WHITE,"₱3,500","₱3,450.00","₱3,920.00",0
N/A,THERMAL,DEEP COOL,Z3 - 1.5g,THERMAL - DEEP COOL Z3 - 1.5g,"₱3,500","₱3,500.00","₱3,920.00",3
N/A,THERMAL,DEEP COOL,Z5 - 3g,THERMAL - DEEP COOL Z5 - 3g,₱200,₱200.00,₱224.00,1
N/A,THERMAL,DEEP COOL,Z4 - 2g,THERMAL - DEEP COOL Z4 - 2g,₱180,₱165.00,₱201.60,36
N/A,THERMAL,DEEP COOL,Z10 - 5g,THERMAL - DEEP COOL Z10 - 5g,₱250,₱230.00,₱280.00,7
N/A,THERMAL,GENERIC,BIG,THERMAL - GENERIC BIG,₱80,₱60.00,₱89.60,13
N/A,THERMAL,GENERIC,SMALL,THERMAL - GENERIC SMALL,₱30,₱30.00,₱33.60,3
N/A,THERMAL,KRYONAUT ,1G Thermal Paste,THERMAL - KRYONAUT  1G Thermal Paste,₱400,₱380.00,₱448.00,1
N/A,THERMAL,DEEP COOL,G40 - 4g,THERMAL - DEEP COOL G40 - 4g,₱350,₱330.00,₱392.00,0
1YR,TV,VIEWPLUS,FLAT SMART TV TX55 4K 60HZ HDMI*3 USB*2 BT WIFI RJ45,TV - VIEWPLUS FLAT SMART TV TX55 4K 60HZ HDMI*3 USB*2 BT WIFI RJ45,"₱18,000","₱18,000.00","₱20,160.00",0
1YR,UPS,AWP,1000VA 600W 4XUS SOCKETS LED INDICATORS,UPS - AWP 1000VA 600W 4XUS SOCKETS LED INDICATORS,"₱2,250","₱2,200.00","₱2,520.00",0
1YR,UPS,ETONIX,650VA,UPS - ETONIX 650VA,"₱1,550","₱1,530.00","₱1,736.00",1
1YR,UPS,SECURE ,1000VA,UPS - SECURE  1000VA,"₱2,300","₱2,280.00","₱2,576.00",0
1YR,UPS,SECURE ,1500VA,UPS - SECURE  1500VA,"₱3,200","₱3,180.00","₱3,584.00",0
1YR,UPS,SECURE ,2000VA,UPS - SECURE  2000VA,"₱4,200","₱4,180.00","₱4,704.00",0
1YR,UPS,SECURE ,3000VA,UPS - SECURE  3000VA,"₱5,200","₱5,180.00","₱5,824.00",0
1YR,UPS,SECURE ,650VA,UPS - SECURE  650VA,"₱1,650","₱1,630.00","₱1,848.00",0
1YR,UPS,SECURE ,5000VA,UPS - SECURE  5000VA,"₱8,500","₱8,480.00","₱9,520.00",0
1YR,UPS,,POWERBANK PES600 (no battery),UPS -  POWERBANK PES600 (no battery),₱800,₱780.00,₱896.00,0
2WKS,USED,FUJITSU ,LAPTOP (USED) FUJITSU I5-6TH GEN 8GB 128GB with FREE WIFI DONGLE,USED - FUJITSU  LAPTOP (USED) FUJITSU I5-6TH GEN 8GB 128GB with FREE WIFI DONGLE,"₱6,500","₱6,480.00","₱7,280.00",0
3MOS,WEBCAM,A4TECH,PK-910H 1080P,WEBCAM - A4TECH PK-910H 1080P,"₱1,150","₱1,130.00","₱1,288.00",0
3MOS,WEBCAM,GAMDIAS ,IRIS M1 STREAMING ,WEBCAM - GAMDIAS  IRIS M1 STREAMING ,"₱1,850","₱1,830.00","₱2,072.00",0
3MOS,WEBCAM,INPLAY,C1080P PRO FHD DIGITAL CAMERA 1080P BLK,WEBCAM - INPLAY C1080P PRO FHD DIGITAL CAMERA 1080P BLK,₱570,₱520.00,₱638.40,2
3MOS,WEBCAM,YGT ,720P,WEBCAM - YGT  720P,₱250,₱230.00,₱280.00,1
1WK,WIFI DONGLE,LB LINK,USB BLUETOOTH DONGLE  BL-WN500BT,WIFI DONGLE - LB LINK USB BLUETOOTH DONGLE  BL-WN500BT,₱250,₱250.00,₱280.00,2
1WK,WIFI DONGLE,LBLINK,NO ANTENNA,WIFI DONGLE - LBLINK NO ANTENNA,₱180,₱160.00,₱201.60,1
1WK,WIFI DONGLE,LBLINK,WITH ANTENNA BL-WN155A,WIFI DONGLE - LBLINK WITH ANTENNA BL-WN155A,₱350,₱330.00,₱392.00,0
1WK,WIFI DONGLE,LBLINK,AC1300M (BL-WDN1300A) WLESS DUAL BAND USB ADAPTER WITH ANTENNA ,WIFI DONGLE - LBLINK AC1300M (BL-WDN1300A) WLESS DUAL BAND USB ADAPTER WITH ANTENNA ,₱670,₱650.00,₱750.40,0
1WK,WIFI DONGLE,TP LINK,ARCHER T2U PLUS AC600,WIFI DONGLE - TP LINK ARCHER T2U PLUS AC600,₱800,₱750.00,₱896.00,0
1MO,WIFI DONGLE,TP LINK,ARCHER T2U AC600 mini wireless usb adapter,WIFI DONGLE - TP LINK ARCHER T2U AC600 mini wireless usb adapter,₱700,₱680.00,₱784.00,0
1MO,WIFI DONGLE,TP LINK,ARCHER T3U NANO AC1300,WIFI DONGLE - TP LINK ARCHER T3U NANO AC1300,₱990,₱970.00,"₱1,108.80",0
1MO,WIFI DONGLE,TP LINK,ARCHER TX10UB NANO AX900,WIFI DONGLE - TP LINK ARCHER TX10UB NANO AX900,₱760,₱740.00,₱851.20,0
N/A,WORKSTATION,FANTECH,WORK STATION (BOARD/FRAME) BLK GAMING DESK WS-414-4B,WORKSTATION - FANTECH WORK STATION (BOARD/FRAME) BLK GAMING DESK WS-414-4B,"₱9,500","₱9,400.00","₱10,640.00",0
1YR,PROCIE ONLY,AMD,R7 5700X (TRAY) NO COOLER,PROCIE ONLY - AMD R7 5700X (TRAY) NO COOLER,,,₱0.00,0
1YR,MOBO,WHALEKOM,B450MV1,MOBO - WHALEKOM B450MV1,,,₱0.00,0
1YR,MOBO,BIOSTAR,A520MHP,MOBO - BIOSTAR A520MHP,,,₱0.00,0
1YR,RAM 3200MHZ,ADATA ,XPG SPECTRIX D50 RGB 16GB /2X8GB) DDR4 3200 WITH GREY HEATSINK,RAM 3200MHZ - ADATA  XPG SPECTRIX D50 RGB 16GB /2X8GB) DDR4 3200 WITH GREY HEATSINK,,,₱0.00,0
1YR,RAM 6000MHZ,ADATA XPG,LANCER BLADE RGB (2x16gb) 32gb-kit DDR5 white,RAM 6000MHZ - ADATA XPG LANCER BLADE RGB (2x16gb) 32gb-kit DDR5 white,,,₱0.00,0
,KB ONLY,LOGITECH,K480 MULTIDV BT KB WHITE,KB ONLY - LOGITECH K480 MULTIDV BT KB WHITE,,,₱0.00,0
1YR,PRO & MOBO - AMD,R5 7600 (BOX),COLORFUL CVN B650M GAMING FROZEN V14 (WHITE),PRO & MOBO - AMD - R5 7600 (BOX) COLORFUL CVN B650M GAMING FROZEN V14 (WHITE),,,₱0.00,0
1YR,GPU,ASROCK,RX 6600 CHALLENGER 8GB WHITE,GPU - ASROCK RX 6600 CHALLENGER 8GB WHITE,,,₱0.00,0
,OTHERS,,PCIE 8X 10G 1PORT LAN CARD,OTHERS -  PCIE 8X 10G 1PORT LAN CARD,,,₱0.00,0
3MOS,HEADSET,REDRAGON,(H270-rgb) MENTO - BLACK,HEADSET - REDRAGON (H270-rgb) MENTO - BLACK,,,₱0.00,0
1YR,GPU,GIGABYTE,RX 7600XT GAMING OC 16GB ,GPU - GIGABYTE RX 7600XT GAMING OC 16GB ,,,₱0.00,0
1WK,CASE GAMING,KEYTECH,VISOR - WHITE (TEMPERED GLASS),CASE GAMING - KEYTECH VISOR - WHITE (TEMPERED GLASS),,,₱0.00,0
1YR,MONITOR,VIEWPOINT,24-INCH 100HZ FHD-24K1S SEMI CURVED WHITE,MONITOR - VIEWPOINT 24-INCH 100HZ FHD-24K1S SEMI CURVED WHITE,,,₱0.00,0
1YR,TV,NVISION,"S43MD 43"" FHD SMART ANDROID TV","TV - NVISION S43MD 43"" FHD SMART ANDROID TV",,,₱0.00,0
,,,, -  ,,,₱0.00,0
,,,, -  ,,,₱0.00,0
,,,, -  ,,,₱0.00,0
,,,, -  ,,,₱0.00,0
,,,, -  ,,,₱0.00,0
,,,, -  ,,,₱0.00,0
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,₱0.00,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
,,,, -  ,,,,
